,,,,,,,,,,,
Propofol,mode,Manual,time(sec),bolus(mg),infusion(mg/hr),Conc blood(C1),Conc C2,Conc C3,Conc effect,Target,BIS
,,,345,0,802,3251.692663,2116.29973,161.685587,3371.176094,0,43.6
,,,350,0,802,3243.08437,2122.635936,162.732527,3369.76498,0,43.6
,,,355,0,802,3235.254835,2128.890631,163.776324,3368.276378,0,43.6
,,,360,0,802,3228.147777,2135.068473,164.817234,3366.719769,0,43.6
,,,365,0,802,3221.710953,2141.173793,165.855496,3365.103746,0,43.6
,,,370,0,802,3215.895865,2147.210614,166.891327,3363.43642,0,43.6
,,,375,0,802,3210.657492,2153.182676,167.924934,3361.725172,0,43.7
,,,380,0,802,3205.954041,2159.093452,168.956504,3359.976791,0,43.7
,,,385,0,802,3201.746717,2164.946174,169.986213,3358.197674,0,43.7
,,,390,0,802,3197.999506,2170.743844,171.014225,3356.393506,0,43.7
,,,395,0,802,3194.678977,2176.489253,172.04069,3354.569708,0,43.7
,,,400,0,802,3191.754095,2182.184995,173.065748,3352.731109,0,43.7
,,,405,0,802,3189.196054,2187.833484,174.089528,3350.882285,0,43.8
,,,410,0,802,3186.978111,2193.436964,175.112152,3349.027336,0,43.8
,,,415,0,802,3185.075443,2198.997522,176.13373,3347.170062,0,43.8
,,,420,0,802,3183.465007,2204.517099,177.154367,3345.313937,0,43.8
,,,425,0,802,3182.125413,2209.997501,178.174157,3343.462238,0,43.8
,,,430,0,802,3181.036805,2215.440409,179.19319,3341.617807,0,43.9
,,,435,0,802,3180.180752,2220.847386,180.211548,3339.783282,0,43.9
,,,440,0,802,3179.540146,2226.219888,181.229306,3337.961206,0,43.9
,,,445,0,802,3179.099105,2231.55927,182.246537,3336.153701,0,43.9
,,,450,0,802,3178.842889,2236.866793,183.263304,3334.362829,0,43.9
,,,455,0,802,3178.757814,2242.143633,184.279669,3332.590513,0,43.9
,,,460,0,802,3178.83118,2247.390885,185.295687,3330.838241,0,44
,,,465,0,802,3179.051196,2252.609568,186.311411,3329.107641,0,44
,,,470,0,802,3179.40692,2257.800632,187.326888,3327.400034,0,44
,,,475,0,802,3179.888195,2262.964965,188.342163,3325.716699,0,44
,,,480,0,802,3180.485592,2268.103392,189.357277,3324.058679,0,44
,,,485,0,802,3181.190361,2273.216684,190.372267,3322.426973,0,44.1
,,,490,0,802,3181.994381,2278.30556,191.387169,3320.822462,0,44.1
,,,495,0,802,3182.890111,2283.370693,192.402015,3319.245898,0,44.1
,,,500,0,802,3183.870557,2288.412708,193.416836,3317.698008,0,44.1
,,,505,0,802,3184.929223,2293.432191,194.431658,3316.179353,0,44.1
,,,510,0,802,3186.060083,2298.42969,195.446508,3314.690508,0,44.1
,,,515,0,802,3187.257542,2303.405717,196.461408,3313.231895,0,44.2
,,,520,0,802,3188.51641,2308.36075,197.476381,3311.803861,0,44.2
,,,525,0,802,3189.831869,2313.295237,198.491446,3310.406789,0,44.2
,,,530,0,802,3191.199447,2318.209598,199.506622,3309.040919,0,44.2
,,,535,0,802,3192.614994,2323.104225,200.521927,3307.706459,0,44.2
,,,540,0,802,3194.074661,2327.979487,201.537374,3306.403615,0,44.2
,,,545,0,802,3195.574875,2332.835729,202.552979,3305.132439,0,44.3
,,,550,0,802,3197.112318,2337.673276,203.568755,3303.893061,0,44.3
,,,555,0,802,3198.683915,2342.492433,204.584714,3302.685496,0,44.3
,,,560,0,802,3200.286811,2347.293485,205.600867,3301.509791,0,44.3
,,,565,0,802,3201.918357,2352.076701,206.617224,3300.365905,0,44.3
,,,570,0,802,3203.576095,2356.842336,207.633794,3299.253814,0,44.3
,,,575,0,802,3205.257745,2361.590628,208.650585,3298.173409,0,44.3
,,,580,0,802,3206.961191,2366.321802,209.667606,3297.124578,0,44.3
,,,585,0,802,3208.684472,2371.03607,210.684864,3296.107205,0,44.4
,,,590,0,802,3210.425767,2375.733634,211.702364,3295.121175,0,44.4
,,,595,0,802,3212.183386,2380.414682,212.720112,3294.166322,0,44.4
,,,600,0,802,3213.955765,2385.079395,213.738114,3293.242457,0,44.4
,,,605,0,802,3215.741449,2389.727942,214.756374,3292.349373,0,44.4
,,,610,0,802,3217.539093,2394.360486,215.774897,3291.486867,0,44.4
,,,615,0,802,3219.347446,2398.977178,216.793686,3290.654743,0,44.4
,,,620,0,802,3221.16535,2403.578164,217.812744,3289.852763,0,44.4
,,,625,0,802,3222.991731,2408.163583,218.832075,3289.08065,0,44.4
,,,630,0,802,3224.825593,2412.733567,219.851681,3288.338212,0,44.4
,,,635,0,802,3226.666014,2417.288241,220.871565,3287.625143,0,44.5
,,,640,0,802,3228.512136,2421.827726,221.891728,3286.941201,0,44.5
,,,645,0,802,3230.363167,2426.352136,222.912172,3286.286133,0,44.5
,,,650,0,802,3232.218373,2430.861582,223.932898,3285.659622,0,44.5
,,,655,0,802,3234.077071,2435.356168,224.953908,3285.061419,0,44.5
,,,660,0,802,3235.938632,2439.835995,225.975203,3284.49119,0,44.5
,,,665,0,802,3237.802471,2444.301161,226.996784,3283.948694,0,44.5
,,,670,0,802,3239.668047,2448.751759,228.01865,3283.433655,0,44.5
,,,675,0,802,3241.534858,2453.187879,229.040803,3282.945689,0,44.5
,,,680,0,802,3243.40244,2457.609607,230.063243,3282.484583,0,44.5
,,,685,0,802,3245.270364,2462.017028,231.08597,3282.049991,0,44.5
,,,690,0,802,3247.138233,2466.410221,232.108983,3281.641661,0,44.5
,,,695,0,802,3249.005679,2470.789267,233.132283,3281.259236,0,44.5
,,,700,0,802,3250.872361,2475.15424,234.15587,3280.902453,0,44.5
,,,705,0,802,3252.737966,2479.505214,235.179742,3280.570996,0,44.5
,,,710,0,802,3254.602202,2483.84226,236.203899,3280.264543,0,44.6
,,,715,0,802,3256.464801,2488.165449,237.228342,3279.982844,0,44.6
,,,720,0,802,3258.325515,2492.474849,238.253068,3279.725519,0,44.6
,,,725,0,802,3260.184114,2496.770524,239.278078,3279.492336,0,44.6
,,,730,0,802,3262.040388,2501.05254,240.30337,3279.282983,0,44.6
,,,735,0,802,3263.894141,2505.320959,241.328943,3279.097122,0,44.6
,,,740,0,802,3265.745192,2509.575843,242.354797,3278.934485,0,44.6
,,,745,0,802,3267.593378,2513.817253,243.380931,3278.794778,0,44.6
,,,750,0,802,3269.438544,2518.045247,244.407343,3278.677704,0,44.6
,,,755,0,802,3271.28055,2522.259882,245.434033,3278.582938,0,44.6
,,,760,0,802,3273.119266,2526.461217,246.460998,3278.510255,0,44.6
,,,765,0,802,3274.954575,2530.649307,247.488238,3278.459326,0,44.6
,,,770,0,802,3276.786367,2534.824205,248.515752,3278.429845,0,44.6
,,,775,0,802,3278.614541,2538.985967,249.543538,3278.421581,0,44.6
,,,780,0,802,3280.439006,2543.134646,250.571595,3278.434175,0,44.6
,,,785,0,802,3282.259678,2547.270293,251.599922,3278.467418,0,44.6
,,,790,0,802,3284.076481,2551.39296,252.628517,3278.520998,0,44.6
,,,795,0,802,3285.889343,2555.502699,253.657379,3278.594626,0,44.6
,,,800,0,802,3287.698202,2559.599558,254.686505,3278.688066,0,44.6
,,,805,0,802,3289.502998,2563.683589,255.715896,3278.801001,0,44.6
,,,810,0,802,3291.30368,2567.754839,256.74555,3278.933216,0,44.6
,,,815,0,802,3293.100198,2571.813357,257.775464,3279.084406,0,44.6
,,,820,0,802,3294.892511,2575.859191,258.805637,3279.254304,0,44.6
,,,825,0,802,3296.680578,2579.892389,259.836069,3279.442678,0,44.6
,,,830,0,802,3298.464365,2583.912997,260.866756,3279.649234,0,44.6
,,,835,0,802,3300.24384,2587.921062,261.897699,3279.873752,0,44.6
,,,840,0,802,3302.018975,2591.916629,262.928894,3280.115936,0,44.6
,,,845,0,802,3303.789745,2595.899745,263.960342,3280.375578,0,44.6
